Model (Run),Trainable Parameters,Value (%), Score
DenseNet121,"6,956,298",95.12, 2.222081779245606
ResNet18,"11,173,962",94.16, 2
MobileNetV2_custom_0.5_1,"602,482",91.46,0.09802929719892478
MobileNetV2,"2,296,922",91.07,0.3697387035892479
MobileNetV2_custom_0.75_0.75,"1,017,190",91.06,0.15666128018263129
MobileNetV2_custom_0.5_0.5,"332,018",88.97, 0.05092638450265266
MobileNetV2_custom_0.75_0.5,"726,502",90.63,0.11058629250662574
MobileNetV2_custom_0.5_0.75,"465,906",90.28,0.07216707295869083
MobileNetV2_custom_0.5_1_pruned,"602,482",90.95,0.06567826539838706
DenseNet121_0.85_4b,"6,956,298",91.17,0.42
DenseNet121_0.35_struc_0.7un_4b,"4,900,000",92,0.27
